username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Dominic Mark Ashman,29700512,Kent,2023-01-26 19:55:58,"@xfm_community On Eastenders tonight, Jay and Lola's first dance after the wedding was to 'Wonderful Tonight' by Er… https://t.co/gdT1EsGAIJ",1,Twitter for Android,
Robert Bob 3.5% Remainer.,1189841394480959488,Kent,2023-01-26 19:36:10,"I do not support the Israeli government or their approach to Palestine. 
I am not antisemitic. Everyone has a right… https://t.co/D9nlchtjDu",3,Twitter Web App,
KMPT NHS 💙,309088395,Kent,2023-01-26 17:57:28,"Have you received care from #mentalhealth and #community #health services in Kent? If so, we want to hear from you!… https://t.co/FB1FzTWGYM",0,Twitter Web App,
Adrian Richardson,228117184,Kent,2023-01-26 17:21:56,Exciting first Board @kmptnhs today opened up by hearing from two service users on how our Brenchley Unit's Therape… https://t.co/adpQiiAJT3,0,Hootsuite Inc.,
Medway Labour & Co-operative Group 🇬🇧🤝🇺🇦,373425978,"Medway, Kent",2023-01-26 15:39:35,"Cllr. Simon Curry, a governor at the school, has welcomed this initiative as a great opportunity for the community… https://t.co/oZZmYNZdMJ",1,Twitter Web App,
mishyensen,1370024081785982987,kent ,2023-01-26 12:41:47,@storiesbyjemay @Canellelabelle It's really sad to think that the overseas kids only have a couple of adults to pla… https://t.co/iaDG91eNIf,0,Twitter for Android,
Paul Raymond #GTTO,284600892,Kent,2023-01-26 12:27:57,"@Mumoftwo1329 @MorreyCaroline @CHIMPSINSOCKS If you believe that nobody is sincere in the Trans community, then not… https://t.co/i1tz6TkFj2",0,Twitter Web App,
Phil Clarke,227473334,Kent,2023-01-26 11:32:50,"@andrewmfc @chapz_89 @Boy69Scotty no allowances for covid, there are allowances for Virtue Spend which is infrastru… https://t.co/wwBN2j5Dmn",0,Twitter Web App,
C&T Auctioneers,1907864808,Kent,2023-01-26 10:33:35,Thanks to all who came down to our Valuation Day in Whitstable yesterday! 💫 If you're in the Hawkinge/Folkestone ar… https://t.co/kYIV9zOdxR,0,Twitter Web App,
LJH,1039886852910735360,Kent,2023-01-26 10:26:51,"Christians, please wake up! These people hate us. Turning the other cheek, singing lovely hymns and opening up our… https://t.co/iirNkdCmlA",1,Twitter for Android,
Tarasaurus,878140441,Kent,2023-01-26 10:00:15,"@bbcdebatenight @susie_mccabe How f****** dare you!!
I play golf, organise kids coaching, volunteer in community or… https://t.co/NAlrCQhGJm",0,Twitter for iPhone,
Culture in Kent,1508824645889413124,Kent,2023-01-26 09:30:02,"Thursday is #boostyourprofile day!

Add your profile to our growing community of creatives in Kent for FREE or upgr… https://t.co/M52AUFDTnB",0,Zoho Social,
Josh Nelson,2842156971,North west Kent,2023-01-26 09:24:12,@BiologyAwesome @Mrmangajojo @SteveBarclay No reason to believe community immunity works differently with this than… https://t.co/246tNyzBLv,0,Twitter for iPhone,
CR Arts,3294015425,Kent,2023-01-26 08:30:20,"Are you looking for low cost easy access office space in Kent , East Sussex or South London ? We are building a dir… https://t.co/Iolt3rUaXt",0,The Social Jukebox,
B2B Kent,2795835840,Kent,2023-01-26 06:35:23,"Why post-pandemic the entire business community needs to reevaluate what’s important

A #BBunker Blog by Ross Feene… https://t.co/SXGqluHpHA",0,The Social Jukebox,
Brett Glasow,898414628299874304,"Kent, WA",2023-01-26 03:09:46,Props 2 my Drama Community 💯 https://t.co/4vbTnaeGFI via @YouTube,0,Twitter Web App,
Josh Nelson,2842156971,North west Kent,2023-01-26 00:51:40,@Mrmangajojo @SteveBarclay Why is forever masking helping people - we need community immunity from exposure to protect  the vulnerable,0,Twitter for iPhone,
Dominic Mark Ashman,29700512,Kent,2023-01-25 23:25:28,"@KarlsQuotes ""I'll bung a song on"" @xfm_community https://t.co/mknMsJnFYS",0,Twitter Web App,
iLoveKent.net,41893596,"Kent, Washington",2023-01-25 22:26:45,Kent Police seeking community’s help to access security cameras https://t.co/SoNleYkNGS Crime #Crime #Kent #news,0,iLoveKent2,
Harris Girls’ Academy Bromley,1328579496,"Beckenham, Kent",2023-01-25 21:10:35,It's been a busy week at HGABR and it's only Thursday! We started by celebrating some of wonderful students who go… https://t.co/boElYfg9nY,1,Twitter for iPhone,
VikingRik,862715576866799617,Kent ,2023-01-25 20:52:48,@TheVikingDane She was a guest when John and I went to FSN before Christmas. Talked well about her JK enlightenment… https://t.co/otYoHPZP7J,1,Twitter for Android,
Ray Weatherford,795353708,"Auburn, WA",2023-01-25 20:27:25,@BungieHelp Can you find out why Sparrow Racing isn't appearing as a Crucible option in D2 also please? Thanks. A l… https://t.co/rbXG2gbfqM,0,Twitter for Android,
Auburn WA Police Dept,748254696633098240,"Auburn, WA",2023-01-25 20:03:32,"🚨Do you recognize this vehicle?🚨

The Dodge Challenger pictured below (possibly a 2-15-18 SXT) was involved in the… https://t.co/hQNRQcwvt2",24,Twitter for iPhone,
